user_id,user_name,date,text,Sentiment
1.36E+18,rrraA,2022-10-11 19:30:04+00:00,inget gas money heist korea kelar ,Negative
1.51E+18,lysaa,2022-10-11 17:04:25+00:00,selesai watching money heist korea ending gantung tunggu lanjut rampok sandera ,Negative
1.51E+18,lysaa,2022-10-11 17:02:10+00:00,money heist korea tokyo ngeselin badass lin darah tokyo faktor bua ,Negative
1.57E+18,kalun,2022-10-11 15:49:18+00:00,money heist suka curi ,Negative
1.01E+18,Drama Menfess,2022-10-11 06:41:43+00:00,kdma teman nonton money heist korea epsiode gantung banget lanjut nya sih ,Negative
1.56E+18,chiaA freetagA,2022-10-11 05:19:36+00:00,tim rampok money heist meninggoy duluan ,Negative
1.56E+18,chiaA freetagA,2022-10-11 04:57:12+00:00,namatin money heist season kangen nairobi ,Negative
1540141357,,2022-10-10 13:34:10+00:00,nonton sih kayak tunggu niat squid game money heist yumi cell itaewon nonton tamat ,Negative
1.17E+18,aninA,2022-10-10 12:33:03+00:00,money heist korea asli tuuuu beda kah cerita ,Negative
1.22E+18,TANPA NAMA,2022-10-10 02:37:16+00:00,nonton money heist bgus ,Negative
1.01E+18,Inlander,2022-10-09 15:58:39+00:00,tema money heist iya sayanga ,Negative
1600582920,,2022-10-09 11:29:02+00:00,sebel banget deh nonton film film bagus netflix eh episode akhir ngambang alias season season blom adaaa sadar ket season bag alice in borderland sweet home money heist korea why ,Negative
1.44E+18,Aa jual biologi campbell DM me,2022-10-08 10:55:59+00:00,money heist korea sih ,Negative
9.32E+17,DinA A1A A2,2022-10-08 10:38:16+00:00,eh main money heist korea ,Negative
347221030,AaA,2022-10-07 12:52:25+00:00,expectation money heist original ,Negative
409742141,A14,2022-10-04 04:41:35+00:00,tarik kayak money heist korea ,Negative
44029493,Ibu Kaya Syukur,2022-08-08 11:56:04+00:00,senin baca review money heist versi korea penasaran njelimetnya rencana ampo besar ulas tarik detail kecewa endingnya ah baca ,Negative
1.31E+18,mymoneydon,2022-08-17 15:51:10+00:00,scene cctv polisi series money heist ,Negative
1393482530,Jujuu,2022-08-17 13:31:34+00:00,muts habis nnton money heist korea endingnya nyeselesain yhh ,Negative
1.37E+18,,2022-08-17 13:29:14+00:00,ngomong-ngomong kaya genre kaya money heist yak ,Negative
1.37E+18,saraga,2022-08-17 13:13:03+00:00,semestere banyak bahasa spanyol nya paham gara gara nonton money heist ,Negative
124891608,Rico Muhammad Aziz,2022-08-17 12:42:19+00:00,penasaran film kayak money heist versi indonesia ,Negative
3170608878,Nan tangin,2022-08-17 00:50:44+00:00,inget ending film money heist keruk bagiin rakyata ,Negative
1.28E+18,sorrymom,2022-08-12 20:19:36+00:00,cuk tidur larut jam an tidur paksa bangun jam kahan jembut alias budak cina alas tidur larut si mega netflix an marathon money heist season kontolll ,Negative
1.40E+18,nayca,2022-08-12 01:39:52+00:00,marathon money heist ,Negative
1.49E+18,ayya,2022-08-11 14:05:41+00:00,habis nyelesein money heist korea nyadar season ,Negative
1.27E+18,dewi,2022-08-09 14:01:20+00:00,season nya money heist nonton nafas anjirrr engap banget gila filma ,Negative
44029493,Ibu Kaya Syukur,2022-08-08 11:56:04+00:00,senin baca review money heist versi korea penasaran njelimetnya rencana ampo besar ulas tarik detail kecewa endingnya ah baca ,Negative
1.44E+18,,2022-08-18 15:52:55+00:00,pikir deh agency tema nya crime agency cari volunteer baik rusak agency cari volunteer misi rampok barang money heista ,Negative
1.43E+18,Taeri,2022-08-18 13:05:18+00:00,ngikutin money heist spain ,Negative
