user_id,user_name,date,text
415357043,tenjun nieh,2021-12-22 07:37:52+00:00,ngelanjutin money heist season omg kejut ep 
376856993,Mariaserviana,2021-12-22 07:29:12+00:00,you akhir episode money heist gagal move on series 
155756100,baramblue,2021-12-22 04:27:05+00:00,yawla lucu money heist tegang suasana tong suara anak bayi menang awkward situasi hahahaha 
9.89E+17,iceetaa,2021-12-22 01:59:22+00:00,mana nonton money heist seru gilaaaaa 
814508354,ddeestii,2021-12-22 01:23:13+00:00,nonton money heist 
1438205155,dityayogap,2021-12-22 00:03:51+00:00,series puas tamatin peama kali money heist gila man 
1910317872,Bob lamanepa,2021-12-22 00:02:13+00:00,money heist su habis serial 
2780453281,,2021-12-21 22:46:32+00:00,money heist jirisan happiness 
1.46E+18,slapyourpizza,2021-12-21 19:14:16+00:00,tamat money heist tertawa seru banget banget 
1.21E+18,destymega,2021-12-21 18:38:22+00:00,habis ngelarin money heist cinta filmm 
1.39E+18,,2021-12-21 16:59:59+00:00,malam all habis maraton money heist season pagi selesai 
1.13E+18,simon sehat,2021-12-21 16:59:28+00:00,kolonel tamayo karakter polisi lemah money heist ganti posisi aurito karakter sok jago habis aurito terbit tamayo 
1565895180,moviemenfes,2021-12-21 16:00:01+00:00,mvs ketemu orang ngikutin money heist asa ketemu teman hidup 
113331863,viniasfarilla,2021-12-21 15:59:56+00:00,energi habis nonton money heist eps literally capek asa professor 
165059213,vianrd,2021-12-21 15:16:16+00:00,money heist bagus 
1.45E+18,magnoliapetals,2021-12-21 15:14:48+00:00,tuhan tolong kembali mood nonton ku tumpuk banget kemarin nonton money heist episode ngantuk 
454931017,thelilacdino,2021-12-21 14:02:12+00:00,denger lagu you bayang scenenya money heist melulu deh 
1.11E+18,minselrui,2021-12-21 13:31:26+00:00,joo tonton money heist 
4689901063,sonzibonzi,2021-12-21 13:23:18+00:00,banget son nonton money heist senyam senyum grgr lihat lin 
8.88E+17,jakojeg,2021-12-21 13:07:49+00:00,akin netflx minjem bntr dongggg nonton money heist doangg 
1.02E+18,bucinptg,2021-12-21 13:06:32+00:00,gmnsi gapaham alur money heist 
1.40E+18,your littleluv,2021-12-21 11:55:31+00:00,henti season money heist henti 
3068121276,phllegmatic,2021-12-21 11:22:29+00:00,puas banget kelarin money heist bingung nonton iya 
1.08E+18,Thresiadevina,2021-12-21 09:42:29+00:00,ayah nnton money heist anjing 
1.44E+18,jenolover,2021-12-21 09:09:19+00:00,selesai nonton money heist 
307749238,,2021-12-21 08:08:32+00:00,latest release money heist pon jenguk tokyo mati hati tawar 
345811705,Ratihfebrianti,2021-12-21 07:28:15+00:00,money heist eps palinggggg menang nonton 
1.45E+18,keroopiiw,2021-12-21 02:55:56+00:00,lanjut money heist nontonnya soale suebel ngomel ngomel nonton 
1.40E+18,tenyuwww,2021-12-20 20:24:24+00:00,money heist anak si lin ngeselin banget anjenggg pen tampol 
1.40E+18,tenyuwww,2021-12-20 20:18:24+00:00,pantau jam pagi speechless grgr money heist eps 
208748925,xheeseburger,2021-12-20 18:35:33+00:00,nonton money heist kelar nonton malam 
1.35E+18,matthewsanjayap,2021-12-20 18:12:45+00:00,asi nonton money heist lupa pagi 
100894758,agizab,2021-12-20 18:11:45+00:00,sekian kali nonton money heist 
2368436743,,2021-12-20 18:00:00+00:00,nonton money heist lelah 
1.36E+18,xxxnetflixxx,2021-12-20 16:57:45+00:00,njing menang menang nonton money heist eps 
1302026461,yusronmuzakii,2021-12-20 16:36:18+00:00,lambat banget nonton money heist 
48308547,ravikafifi,2021-12-20 15:57:07+00:00,orang nonton money heist lelah dengerinnya 
496176863,Bangun,2021-12-20 15:56:02+00:00,bodoh namatin money heist 
1.10E+18,sarchuarea,2021-12-20 15:49:11+00:00,kelarin nonton money heist tamat gila iya film keren kaya 
342477918,febri ida,2021-12-20 15:30:37+00:00,money heist is done tidur nyenyak pikir geng rampok sayang sengaja nonton wow gituuu bareng tertawa alicia sierra cinta you to the moon beside lin 
8.28E+17,wildestmanuknow,2021-12-20 15:19:52+00:00,nonton money heist tres ajg 
1.12E+18,uputreey,2021-12-20 15:10:58+00:00,money heist bagus banget sih gaboong 
1.36E+18,xxxnetflixxx,2021-12-20 14:40:59+00:00,nnton money heist eps takut menang menang ruang tamu kakak make kamar endorse makan kali 
194498591,amergoods,2021-12-20 14:27:19+00:00,mati money heist 
1.08E+18,cgr,2021-12-20 14:18:59+00:00,peama kali nonton money heist semangat semangat 
265136258,dennyafdillah,2021-12-20 14:18:17+00:00,ajglah eps money heist epic bgtt lihat alicia sierra nya 
1.37E+18,imharadamoe,2021-12-20 14:15:58+00:00,nonton money heist season 
332723795,taufandamar,2021-12-20 14:12:50+00:00,money heist seru 
8.75E+17,ethernaall,2021-12-20 13:54:10+00:00,nonton money heist ep doain kuat nyelesain episode yah 12 
159371063,adityaulia,2021-12-20 13:15:13+00:00,oslo money heist mati cepat 
1.33E+18,Baomyu,2021-12-20 13:01:24+00:00,lin kaya karakter money heist 
1.43E+18,lovingjaenjun,2021-12-20 12:55:01+00:00,namatin money heist malas gerak banget njir tinggal nonton doank 
1.25E+18,ayangnyamino,2021-12-20 12:21:09+00:00,ending money heist si gila suka suka 
1.32E+18,genius thv,2021-12-20 11:37:55+00:00,lanjutin nonton money heist facebook habis kelar yaw 
