Age,Sex,ChestPainType,RestingBP,Cholesterol
(0.005626404497984758+0j),(0.005626404497984758+0j),(0.010583986064405543+0j),(0.0008187470054229237+0j),(0.010583986064405543+0j)
(0.004074292912333791+0j),(0.004074292912333791+0j),(0.007664265770776429+0j),(0.0005928857625476344+0j),(0.007664265770776429+0j)
(0.003686265015921049+0j),(0.003686265015921049+0j),(0.00693433569736915+0j),(0.0005364204518288121+0j),(0.00693433569736915+0j)
(0.003686265015921049+0j),(0.003686265015921049+0j),(0.00693433569736915+0j),(0.0005364204518288121+0j),(0.00693433569736915+0j)
(0.0034922510677146777+0j),(0.0034922510677146777+0j),(0.00656937066066551+0j),(0.000508187796469401+0j),(0.00656937066066551+0j)
(0.0034922510677146777+0j),(0.0034922510677146777+0j),(0.00656937066066551+0j),(0.000508187796469401+0j),(0.00656937066066551+0j)
(0.003298237119508307+0j),(0.003298237119508307+0j),(0.006204405623961871+0j),(0.00047995514110998986+0j),(0.006204405623961871+0j)
(0.003104223171301936+0j),(0.003104223171301936+0j),(0.005839440587258231+0j),(0.00045172248575057865+0j),(0.005839440587258231+0j)
(0.003104223171301936+0j),(0.003104223171301936+0j),(0.005839440587258231+0j),(0.00045172248575057865+0j),(0.005839440587258231+0j)
(0.002910209223095565+0j),(0.002910209223095565+0j),(0.005474475550554592+0j),(0.00042348983039116743+0j),(0.005474475550554592+0j)
(0.002716195274889194+0j),(0.002716195274889194+0j),(0.005109510513850953+0j),(0.00039525717503175633+0j),(0.005109510513850953+0j)
(0.002716195274889194+0j),(0.002716195274889194+0j),(0.005109510513850953+0j),(0.00039525717503175633+0j),(0.005109510513850953+0j)
(0.002716195274889194+0j),(0.002716195274889194+0j),(0.005109510513850953+0j),(0.00039525717503175633+0j),(0.005109510513850953+0j)
(0.002716195274889194+0j),(0.002716195274889194+0j),(0.005109510513850953+0j),(0.00039525717503175633+0j),(0.005109510513850953+0j)
(0.0025221813266828232+0j),(0.0025221813266828232+0j),(0.004744545477147313+0j),(0.00036702451967234517+0j),(0.004744545477147313+0j)
(0.0025221813266828232+0j),(0.0025221813266828232+0j),(0.004744545477147313+0j),(0.00036702451967234517+0j),(0.004744545477147313+0j)
(0.0023281673784764523+0j),(0.0023281673784764523+0j),(0.004379580440443674+0j),(0.000338791864312934+0j),(0.004379580440443674+0j)
(0.0023281673784764523+0j),(0.0023281673784764523+0j),(0.004379580440443674+0j),(0.000338791864312934+0j),(0.004379580440443674+0j)
(0.002134153430270081+0j),(0.002134153430270081+0j),(0.0040146154037400345+0j),(0.0003105592089535228+0j),(0.0040146154037400345+0j)
(0.002134153430270081+0j),(0.002134153430270081+0j),(0.0040146154037400345+0j),(0.0003105592089535228+0j),(0.0040146154037400345+0j)
(0.002134153430270081+0j),(0.002134153430270081+0j),(0.0040146154037400345+0j),(0.0003105592089535228+0j),(0.0040146154037400345+0j)
(0.0017461255338573388+0j),(0.0017461255338573388+0j),(0.003284685330332755+0j),(0.0002540938982347005+0j),(0.003284685330332755+0j)
(0.0017461255338573388+0j),(0.0017461255338573388+0j),(0.003284685330332755+0j),(0.0002540938982347005+0j),(0.003284685330332755+0j)
(0.001552111585650968+0j),(0.001552111585650968+0j),(0.0029197202936291156+0j),(0.00022586124287528932+0j),(0.0029197202936291156+0j)
(0.001552111585650968+0j),(0.001552111585650968+0j),(0.0029197202936291156+0j),(0.00022586124287528932+0j),(0.0029197202936291156+0j)
(0.001552111585650968+0j),(0.001552111585650968+0j),(0.0029197202936291156+0j),(0.00022586124287528932+0j),(0.0029197202936291156+0j)
(0.001552111585650968+0j),(0.001552111585650968+0j),(0.0029197202936291156+0j),(0.00022586124287528932+0j),(0.0029197202936291156+0j)
(0.001358097637444597+0j),(0.001358097637444597+0j),(0.0025547552569254767+0j),(0.00019762858751587816+0j),(0.0025547552569254767+0j)
(0.001358097637444597+0j),(0.001358097637444597+0j),(0.0025547552569254767+0j),(0.00019762858751587816+0j),(0.0025547552569254767+0j)
(0.0011640836892382262+0j),(0.0011640836892382262+0j),(0.002189790220221837+0j),(0.000169395932156467+0j),(0.002189790220221837+0j)
(0.0011640836892382262+0j),(0.0011640836892382262+0j),(0.002189790220221837+0j),(0.000169395932156467+0j),(0.002189790220221837+0j)
(0.0011640836892382262+0j),(0.0011640836892382262+0j),(0.002189790220221837+0j),(0.000169395932156467+0j),(0.002189790220221837+0j)
(0.0009700697410318551+0j),(0.0009700697410318551+0j),(0.0018248251835181974+0j),(0.00014116327679705582+0j),(0.0018248251835181974+0j)
(0.0009700697410318551+0j),(0.0009700697410318551+0j),(0.0018248251835181974+0j),(0.00014116327679705582+0j),(0.0018248251835181974+0j)
(0.000776055792825484+0j),(0.000776055792825484+0j),(0.0014598601468145578+0j),(0.00011293062143764466+0j),(0.0014598601468145578+0j)
(0.000776055792825484+0j),(0.000776055792825484+0j),(0.0014598601468145578+0j),(0.00011293062143764466+0j),(0.0014598601468145578+0j)
(0.000776055792825484+0j),(0.000776055792825484+0j),(0.0014598601468145578+0j),(0.00011293062143764466+0j),(0.0014598601468145578+0j)
(0.000776055792825484+0j),(0.000776055792825484+0j),(0.0014598601468145578+0j),(0.00011293062143764466+0j),(0.0014598601468145578+0j)
(0.000776055792825484+0j),(0.000776055792825484+0j),(0.0014598601468145578+0j),(0.00011293062143764466+0j),(0.0014598601468145578+0j)
(0.0005820418446191131+0j),(0.0005820418446191131+0j),(0.0010948951101109185+0j),(8.46979660782335e-05+0j),(0.0010948951101109185+0j)
(0.000388027896412742+0j),(0.000388027896412742+0j),(0.0007299300734072789+0j),(5.646531071882233e-05+0j),(0.0007299300734072789+0j)
(0.000388027896412742+0j),(0.000388027896412742+0j),(0.0007299300734072789+0j),(5.646531071882233e-05+0j),(0.0007299300734072789+0j)
(0.000388027896412742+0j),(0.000388027896412742+0j),(0.0007299300734072789+0j),(5.646531071882233e-05+0j),(0.0007299300734072789+0j)
(0.000388027896412742+0j),(0.000388027896412742+0j),(0.0007299300734072789+0j),(5.646531071882233e-05+0j),(0.0007299300734072789+0j)
(0.000388027896412742+0j),(0.000388027896412742+0j),(0.0007299300734072789+0j),(5.646531071882233e-05+0j),(0.0007299300734072789+0j)
(0.000388027896412742+0j),(0.000388027896412742+0j),(0.0007299300734072789+0j),(5.646531071882233e-05+0j),(0.0007299300734072789+0j)
