Unnamed: 0,user_name,date,text,Sentiment
0,kia✨,2022-06-24 08:32:44+00:00,w film,Neutral
1,ֺ֮Rey,2022-06-24 08:32:44+00:00,aduh maaf gagal total nonton the doll nontonnya ngedadak cari film jam deketan,Negative
2,oyen,2022-06-24 08:32:34+00:00,kurokaitou tothebooooone yoi strategibisnis watchmenid film rilis bareng kkn gagal tayang lebaran gagal sukses,Neutral
3,el,2022-06-24 08:32:21+00:00,nonton film thriller hehehe doa moga kambuh kayak panic attack,Negative
4,Ajeng ☀️🌻☁️,2022-06-24 08:32:15+00:00,inget film main hoon na salah film fav,Neutral
5,αvis,2022-06-24 08:32:06+00:00,gila sih interstellar film fiksi sains keren,Neutral
6,Kompas.com,2022-06-24 08:32:03+00:00,alas wajib nonton film keluarga cemara,Negative
7,Valar Morghulis,2022-06-24 08:31:55+00:00,brand sponsor nampil film si asa nonton iklan produk,Positive
8,cim 🪐,2022-06-24 08:31:45+00:00,kak kangmasbri kisah nyata film nya kak chan rekomin gasiii,Positive
9,ramon,2022-06-24 08:31:45+00:00,sigercep moviemenfes mas bagus banget khalayak massa film film blng bucin gajelas glowing totalitas kenal film publik iya ramai nonton,Neutral
10,Ruichi,2022-06-24 08:31:32+00:00,moviemenfes jujur laku laku rugi ph produksi sponsor iya crew film film jelek laku asa sia fee pengaruh kelar laku bonus,Neutral
11,𝐣𝐬𝐩𝐡,2022-06-24 08:31:30+00:00,toxicmds film thailand sedih nonton pakai subtitle,Negative
12,Uje Casillas,2022-06-24 08:31:29+00:00,strategibisnis film,Neutral
13,Resti Andinitia,2022-06-24 08:31:22+00:00,seru banget film sumpah,Neutral
14,ruii,2022-06-24 08:31:15+00:00,potakinnnn poster film pota weyyyy tinggal informasi jelas,Negative
15,shen.,2022-06-24 08:31:09+00:00,its always been normal normal otak mikir lihat video porno film standar bentuk alat kelamin thank you sender for sharing,Neutral
16,🤌🏽,2022-06-24 08:31:04+00:00,mizterpopo film dyswis tayang,Positive
17,chilla,2022-06-24 08:30:50+00:00,film tonton lesbi anjing,Negative
18,Tribun Jogja,2022-06-24 08:30:38+00:00,suka film my sassy girl film korea selatan tayang milik versi indonesia resmi rilis kemarin,Positive
19,BIG MOUTH IS COMING TO TOWN,2022-06-24 08:30:32+00:00,mauvelim yah ya deh moga pas promo drama film,Positive
20,Meh hee do,2022-06-24 08:30:11+00:00,thisss marketing is a key marah film jelek tonton yaa rela ngeluarin budget gede marketing film bagus promosi nargetin sekian juta tonton digital marketing gaji lumayan oke,Neutral
21,𝐢𝐚𝐧,2022-06-24 08:30:08+00:00,mewek nonton film,Negative
22,siadam,2022-06-24 08:29:39+00:00,moviemenfes salah nonton film,Negative
23,Paimin Sudrajat,2022-06-24 08:29:34+00:00,film movie baru salah satu crowszero klik link tonton crowsz fullmovies,Negative
24,matamatadotcom,2022-06-24 08:29:33+00:00,kakak kareena kapoor ulang ayo simak film baik bintang,Positive
25,taa 🐖🐇🎪,2022-06-24 08:29:30+00:00,hanphile kmu nonton film horor kmungkinan kmu ecek film horor,Negative
26,Ankit Harsh,2022-06-24 08:29:25+00:00,djpinaak yrf hero bhi hindu hpk wala sb kuch debatable h mere bhai mere ko galat nhi laga kah bhi shiviji kakak role krne wale peeche bhaga daru leke mosques bhi gya tha jahat kelamin meinsb free nhi h it takes tons to money and years of writi,Negative
27,Efakyu,2022-06-24 08:29:15+00:00,saranin film netflix seru,Neutral
